market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"MKEORF",0,0,1,1,0,0,.748,1.217009,.2289411,4.7,3.079679,1.545687,0,0,.4222222,.4928395,.2128395,.4419753,.154321,0,.0457152,.0715946,.0457152,.0154505,0,.0468083
"MKEPBI",0,1,0,1,0,0,1.205,1.398954,.4213133,3.75,3.884755,1.320904,0,0,.295393,.6057664,.1850346,.425399,.154321,.1402439,.0057829,.0051685,.0057829,.0308527,.0006081,.0043191
"MKEPDX",1,0,1,1,0,0,1.718,2.081254,.67125,3.2,3.308213,1.725139,0,0,.4859585,.4640483,.5080044,.5750238,.154321,.1758242,.0478897,.3307114,.0478897,0,0,.062869
"MKEPNS",0,1,0,0,0,0,.861,.9516224,.2181258,4.2,2.90591,.7936571,0,0,.2222222,.5914441,.1728395,.3861614,.154321,0,.0017182,.0761411,.0017182,.2487383,.0015853,.0016825
"MKEPVD",0,0,1,1,0,0,.846,1.471738,.4228904,4.75,3.215328,1.550924,0,0,.4264476,.4404451,.3066423,.5165189,.154321,.2535211,.0797759,.226134,.0797759,.0036374,0,.0879085
"MKERDU",1,0,0,1,1,0,.689,1.091334,.4989468,4.35,3.396337,1.120637,0,0,.428744,.5152308,.2489265,.5729334,.1651905,.2173913,.0344592,.0266719,.0344592,.0714377,0,.0333892
"MKERIC",0,0,0,1,0,0,.673,1.150256,.5235466,4.55,3.284991,1.293692,0,0,.3773946,.5176671,.2245636,.538527,.154321,0,.0513484,.0840727,.0513484,.0227611,0,.0526185
"MKEROC",0,0,0,1,0,0,.518,1.188304,.5519756,3.15,3.197588,1.25034,0,0,.4183007,.2512709,.3493101,.5047204,.154321,0,.1454039,.5008208,.1454039,.0261281,0,.1625786
"MKERSW",1,1,0,1,1,0,1.183,1.348378,.2649559,7.35,3.248739,.8314436,0,0,.4089692,.5282612,.1848877,.4670534,.1603451,0,.0048493,.0019262,.0048493,.0584313,.001473,.0035278
"MKESAN",1,1,1,1,1,0,1.738,1.891937,.67125,4.15,3.387593,2.074736,0,0,.5321396,.4538313,.4001122,.5397409,.1584532,.1942149,.0273789,.1624395,.0034937,.0127533,0,.0127533
"MKESAT",1,0,0,1,1,0,1.095,1.101629,.6586428,3.15,3.043141,1.621386,0,0,.5539979,.5092881,.284989,.4621553,.1636668,.2056075,.0047012,.0047012,.0124035,.0731722,.000468,.0198046
"MKESDF",0,0,0,1,0,0,.348,.6900687,.67125,3.75,3.208097,1.328619,0,0,.4046547,.5309476,.2471638,.524608,.154321,.2297297,.015079,.1516922,.015079,.5598446,.000705,.0100968
"MKESEA",1,0,1,1,1,0,1.694,2.088494,.67125,2.6,3.581234,2.158647,0,0,.4880952,.462522,.4268078,.6327161,.154321,.1507937,.05177,.3433429,.05177,0,0,.0673787
"MKESFO",1,1,1,1,1,0,1.845,2.084589,.1120481,1.65,4.077071,2.508033,0,0,.5079365,.4417471,.5005706,.5928001,.1585227,0,.0337495,.253753,.0064577,.019316,0,.0454319
"MKESJC",1,0,1,1,0,0,1.829,2.06374,.2963765,1.65,4.077071,2.508033,0,0,.6276276,.3485152,.4701368,.5110945,.154321,.2432432,.0336691,.2505118,.0049059,.0209941,0,.0412035
"MKESLC",1,1,1,1,0,0,1.246,1.515076,.67125,4.65,3.143728,1.217803,0,0,.4749695,.5794329,.4310813,.4871117,.154321,.2197802,.0531152,.414318,.0289213,.0307961,0,.0712865
"MKESMF",0,0,1,1,0,0,1.778,2.031041,.67125,4.85,3.231311,1.676847,0,0,.4924925,.3755422,.5039206,.551635,.154321,.2635135,.0363586,.2823482,.0119409,.0176164,0,.0490471
"MKESNA",1,0,1,1,0,0,1.738,1.906842,.3074962,4.2,3.298325,4.347346,0,0,.5829817,.3184091,.4639788,.4839819,.154321,.056962,.0288263,.1819622,0,.0044065,0,.0044065
"MKESRQ",0,1,0,1,1,0,1.114,1.271976,.3634057,5.1,3.54058,.9550162,0,0,.2222222,.6415895,.1728395,.4035494,.154321,0,.0038486,.0008318,.0038486,.076562,.0008289,.0025274
"MKESTL",1,0,0,0,0,0,.317,.4676668,.67125,2.7,3.26758,2.023697,0,0,.5598291,.3010446,.2882241,.5365622,.154321,.2051282,.0245558,.9685933,.0245558,1.132695,.0010611,.0456152
"MKESYR",0,0,0,1,0,0,.597,1.261859,.3645491,2.25,3.052982,.9897543,0,0,.3784722,.3707562,.2353395,.5493827,.154321,0,.1257725,.4135382,.1257725,.0210552,0,.1403379
"MKETPA",1,1,1,1,1,0,1.075,1.239197,.1023103,3.85,3.158078,1.918293,0,0,.4269466,.5389813,.2830757,.5559444,.158258,.1574803,.0047345,.0014439,.0047345,.0787926,.0013882,.0033301
"MKETUL",1,0,0,0,0,0,.631,.6738309,.67125,6.3,3.259581,1.143446,0,0,.6464646,.3622335,.2713244,.3827161,.154321,.280303,.0327938,.5237014,.0327938,.445765,0,.0431979
"MKETUS",0,0,0,1,0,0,1.462,1.573004,.67125,3.95,2.932351,1.138855,0,0,.52657,.3539989,.3105206,.4117016,.154321,.1304348,.0266723,.1379067,.0266723,.071861,0,.0045373
"MLBORD",0,1,0,0,0,0,1.04,1.242821,.1550676,2.6,3.127588,2.115779,0,0,.3464052,.7352941,.3104575,.1699346,.0496732,0,.0011905,.0087655,.0011905,.048585,.0011983,.0012578
"MLBORF",0,1,0,0,0,0,.659,1.735144,.2289411,4.7,2.758469,.8786157,0,0,.2,.82,.04,.3,.0333333,0,1.665111,.4540134,1.665111,.1837523,.0665509,.4522095
"MLBPVD",0,1,0,0,0,0,1.074,1.989873,.4228904,4.75,2.894118,.8815927,0,0,.2042253,.7676057,.1338028,.3239437,.0352113,.2535211,.7575452,.2523083,.7575452,.0270738,.0228399,.0470927
"MLBRDU",0,1,0,0,0,0,.547,1.609469,.472719,4.35,3.075128,.6370044,0,0,.2065217,.8423913,.076087,.25,.1413043,.2173913,2.083831,.4598447,2.083831,.1349829,.0010241,.9251658
"MLBROC",0,0,0,0,0,0,1.049,1.70644,.472719,3.15,2.876379,.7107312,0,0,.1960784,.5784314,.1764706,.3627451,.0980392,0,.4942158,.1366238,.4942158,.014681,.0022082,.0247676
"MLBSAN",0,1,0,0,0,0,2.194,2.410072,.472719,4.15,3.066383,1.179343,0,0,.3099174,.7809917,.2272727,.165427,.053719,.1942149,.0008836,.0008836,.112483,0,0,0
"MLBSDF",0,1,0,0,0,0,.754,1.208204,.472719,3.75,2.886887,.7552279,0,0,.1824324,.8581081,.0743243,.1689189,.0405405,.2297297,.7604252,.0145984,.7604252,.0967022,.0016117,.712175
"MLBSTL",0,1,0,0,0,0,.923,.985802,.472719,2.7,2.94637,1.150331,0,0,.3376068,.6282051,.1153846,.1538462,.0333333,.2051282,.4072561,.003535,.4072561,.1541313,.003535,.3829563
